date,country,channel,campaign,device,group,impressions,clicks,conversions,spend_usd
2025-01-09,TW,Facebook,Flight,desktop,A,11549,412,16,487.66
2025-03-11,JP,Baidu,Vacation,desktop,B,6162,241,9,269.13
2025-02-28,JP,Google,Hotel,mobile,B,7696,388,19,538.26
2025-02-09,TW,Naver,Flight,desktop,A,9516,296,11,163.08
2025-02-08,JP,Twitter,Flight,mobile,A,310,12,0,10.02
2025-03-19,TW,Baidu,Hotel,mobile,A,13456,380,18,166.08
2025-01-08,TW,Google,Hotel,mobile,B,6089,284,11,358.66
2025-03-04,SG,Google,Flight,desktop,B,3537,179,6,222.6
2025-01-19,KR,Facebook,Hotel,desktop,B,8334,406,16,132.22
2025-01-09,SG,Facebook,Flight,mobile,A,13844,489,18,238.02
2025-02-17,TW,Twitter,Flight,mobile,A,5285,164,12,67.67
2025-03-29,TW,Twitter,Flight,mobile,A,5379,155,7,105.92
2025-03-08,TW,Google,Vacation,desktop,A,6321,213,8,247.59
2025-03-10,SG,Facebook,Flight,mobile,A,14923,527,23,663.54
2025-03-06,SG,Naver,Hotel,desktop,B,4559,168,11,122.77
2025-03-12,SG,Google,Vacation,mobile,B,7747,396,21,457.27
2025-02-16,TW,Naver,Hotel,mobile,A,13910,421,11,340.42
2025-01-12,JP,Baidu,Flight,mobile,A,6588,205,4,146.63
2025-03-17,TH,Facebook,Vacation,desktop,B,14653,671,34,888.61
2025-02-10,SG,Twitter,Flight,mobile,A,790,20,2,19.4
2025-02-15,TH,Twitter,Flight,mobile,B,13955,541,34,420.18
2025-02-03,KR,Naver,Vacation,mobile,A,9944,287,9,53.92
2025-01-17,TW,Google,Flight,mobile,B,8925,460,35,651.05
2025-03-25,KR,Google,Vacation,mobile,B,9802,461,26,126.23
2025-03-12,SG,Facebook,Flight,desktop,B,9460,433,17,72.7
2025-02-27,TW,Google,Flight,mobile,A,7662,311,11,32.5
2025-02-06,TW,Baidu,Flight,mobile,A,13019,371,20,334.45
2025-03-16,JP,Baidu,Hotel,desktop,B,2011,99,4,114.31
2025-02-19,TW,Twitter,Vacation,mobile,B,2747,106,3,13.53
2025-02-09,SG,Google,Flight,desktop,A,1279,48,1,69.49
2025-02-10,JP,Naver,Hotel,mobile,B,6841,290,12,78.81
2025-01-21,KR,Google,Flight,desktop,B,1661,79,4,23.12
2025-01-09,TH,Google,Flight,mobile,A,3691,153,7,149.59
2025-02-19,JP,Google,Flight,mobile,B,6676,357,16,188.61
2025-03-21,SG,Facebook,Vacation,mobile,B,9865,465,17,581.54
2025-01-06,TH,Twitter,Flight,mobile,A,4020,126,3,127.4
2025-03-19,TW,Twitter,Flight,mobile,B,13307,554,25,730.06
2025-03-16,TH,Naver,Hotel,mobile,A,14353,445,21,404.18
2025-01-25,SG,Baidu,Vacation,mobile,B,11024,492,20,126.54
2025-02-26,TH,Baidu,Flight,desktop,B,4745,205,10,268.08
2025-01-15,TW,Baidu,Vacation,desktop,B,8835,364,19,348.97
2025-03-10,JP,Baidu,Flight,mobile,A,381,12,3,6.15
2025-03-05,SG,Google,Vacation,mobile,A,6496,260,11,151.59
2025-02-01,TH,Facebook,Flight,mobile,A,13785,493,14,487.01
2025-01-07,SG,Naver,Flight,mobile,A,2350,66,5,47.05
2025-03-29,TH,Facebook,Flight,desktop,A,11190,399,14,473.15
2025-02-10,TW,Baidu,Vacation,desktop,A,12475,377,9,496.22
2025-03-22,JP,Twitter,Vacation,mobile,A,1227,39,3,45.02
2025-03-03,KR,Baidu,Flight,desktop,B,13584,584,28,355.79
2025-03-12,TW,Naver,Flight,desktop,A,1343,35,3,50.14
2025-03-10,TW,Twitter,Flight,desktop,A,12457,385,27,54.79
2025-01-18,KR,Twitter,Hotel,desktop,B,10290,397,16,500.48
2025-02-02,TW,Facebook,Vacation,desktop,B,11794,531,30,117.03
2025-02-12,TH,Google,Flight,mobile,A,13966,577,33,432.29
2025-02-14,TH,Twitter,Flight,mobile,A,4820,141,2,148.69
2025-01-04,TW,Facebook,Flight,mobile,B,2368,111,5,36.49
2025-02-19,JP,Facebook,Flight,desktop,B,4161,177,8,25.45
2025-01-14,TH,Naver,Flight,mobile,A,5430,165,9,17.91
2025-03-08,SG,Naver,Hotel,desktop,B,14269,593,29,605.6
2025-03-03,TW,Twitter,Flight,desktop,A,1559,56,5,17.79
2025-03-25,TH,Google,Flight,desktop,A,12316,473,17,403.17
2025-03-09,JP,Twitter,Hotel,mobile,A,8702,252,15,212.32
2025-02-02,TH,Google,Hotel,desktop,A,3040,110,2,27.36
2025-03-29,JP,Baidu,Hotel,mobile,A,12184,363,15,85.41
2025-02-06,TW,Baidu,Flight,mobile,B,14178,549,22,216.0
2025-01-30,TH,Twitter,Flight,desktop,B,14983,601,35,803.76
2025-03-23,TW,Naver,Vacation,desktop,B,2319,92,3,94.63
2025-02-03,SG,Facebook,Vacation,mobile,A,12934,427,15,56.77
2025-01-07,KR,Facebook,Vacation,mobile,B,7701,330,21,200.48
2025-02-12,TH,Google,Flight,mobile,B,11832,626,37,922.45
2025-03-13,JP,Google,Flight,mobile,A,2354,81,2,56.8
2025-01-18,KR,Baidu,Hotel,mobile,B,13745,560,37,691.48
2025-02-11,JP,Facebook,Flight,desktop,B,7878,342,20,176.82
2025-01-12,TW,Baidu,Flight,mobile,B,215,14,1,13.13
2025-03-03,KR,Twitter,Hotel,desktop,B,4492,207,12,152.5
2025-02-12,SG,Facebook,Vacation,mobile,A,5383,178,10,93.25
2025-01-30,KR,Facebook,Flight,desktop,A,2409,84,6,37.46
2025-01-21,JP,Baidu,Vacation,mobile,B,3072,139,2,111.44
2025-02-20,TW,Naver,Vacation,mobile,A,2096,74,4,47.24
2025-03-02,KR,Facebook,Vacation,desktop,B,10807,438,19,343.98
2025-03-26,SG,Baidu,Flight,mobile,B,11908,511,26,504.38
2025-02-09,JP,Naver,Hotel,mobile,A,8702,267,6,362.1
2025-01-15,KR,Naver,Flight,desktop,A,8437,238,9,260.05
2025-03-16,JP,Google,Flight,desktop,B,4446,220,14,208.52
2025-02-26,SG,Google,Flight,mobile,A,4814,177,9,208.19
2025-03-05,TH,Google,Flight,mobile,A,6434,253,6,65.4
2025-01-09,KR,Baidu,Flight,mobile,A,10728,304,11,369.59
2025-01-29,JP,Baidu,Hotel,mobile,A,9416,275,7,194.82
2025-03-11,TW,Google,Vacation,desktop,A,6784,288,10,110.62
2025-03-16,JP,Naver,Vacation,desktop,A,2172,71,0,59.62
2025-02-09,TH,Google,Hotel,mobile,B,10501,502,27,635.13
2025-03-14,SG,Baidu,Flight,desktop,B,5552,231,16,76.43
2025-03-17,SG,Twitter,Hotel,desktop,A,5676,187,5,171.6
2025-02-04,SG,Twitter,Vacation,mobile,B,1233,46,4,39.74
2025-03-22,TH,Google,Hotel,desktop,B,12862,611,26,791.69
2025-01-26,KR,Google,Flight,desktop,A,1638,57,2,38.78
2025-01-22,SG,Naver,Flight,desktop,B,1052,45,1,56.55
2025-03-03,TW,Naver,Hotel,mobile,B,1684,73,1,98.14
2025-02-27,SG,Naver,Vacation,desktop,B,9827,376,16,182.63
2025-01-13,KR,Naver,Hotel,desktop,B,13455,505,27,522.8
2025-03-16,TH,Naver,Hotel,mobile,A,10849,331,18,348.24
2025-01-18,KR,Google,Hotel,mobile,B,14318,698,31,209.41
2025-03-14,JP,Twitter,Flight,mobile,A,986,22,2,25.14
2025-01-01,TW,Naver,Vacation,mobile,B,6316,250,11,286.2
2025-03-13,SG,Naver,Hotel,desktop,B,3793,166,4,181.1
2025-03-12,JP,Twitter,Flight,desktop,B,1496,61,2,69.09
2025-03-12,SG,Naver,Vacation,desktop,B,12214,481,26,137.29
2025-03-01,TH,Google,Vacation,desktop,A,9456,373,16,244.17
2025-02-12,SG,Twitter,Vacation,desktop,B,11452,471,26,512.15
2025-03-05,JP,Naver,Flight,mobile,A,11373,365,16,402.65
2025-01-25,KR,Twitter,Flight,desktop,A,4643,139,5,149.33
2025-03-12,TW,Naver,Flight,desktop,A,2775,91,4,40.72
2025-02-20,TW,Twitter,Flight,desktop,A,10129,307,14,266.86
2025-02-11,TW,Google,Vacation,desktop,B,7786,408,19,230.91
2025-02-15,JP,Facebook,Flight,desktop,A,7041,253,13,377.68
2025-02-21,SG,Naver,Hotel,mobile,B,3918,139,7,113.87
2025-01-04,KR,Twitter,Vacation,mobile,A,9104,254,12,264.73
2025-01-13,KR,Facebook,Flight,desktop,A,10790,377,16,190.45
2025-01-23,KR,Google,Flight,mobile,A,2651,110,2,120.72
2025-01-11,SG,Facebook,Hotel,mobile,A,3507,138,4,44.34
2025-02-09,JP,Naver,Vacation,mobile,A,14503,449,22,62.22
2025-03-02,JP,Baidu,Hotel,mobile,A,12643,406,20,56.13
2025-02-28,JP,Google,Vacation,desktop,B,7080,376,14,543.56
2025-02-12,KR,Google,Flight,desktop,B,4234,206,13,244.74
2025-03-18,JP,Naver,Hotel,mobile,B,7093,260,11,230.38
2025-02-20,KR,Google,Flight,desktop,B,12295,636,36,301.81
2025-01-08,TW,Twitter,Hotel,mobile,B,6027,224,6,105.25
2025-03-10,TH,Google,Flight,desktop,B,5651,302,15,223.83
2025-02-21,SG,Google,Flight,mobile,A,9687,414,18,220.42
2025-02-27,SG,Google,Hotel,mobile,B,7563,369,15,436.13
2025-02-20,TH,Facebook,Flight,desktop,B,12028,564,29,842.37
2025-02-19,TH,Naver,Vacation,mobile,B,11384,469,25,375.77
2025-01-09,TH,Twitter,Hotel,desktop,B,5180,187,5,117.66
2025-02-20,KR,Naver,Vacation,mobile,B,1801,74,5,96.62
2025-03-13,TW,Naver,Flight,mobile,A,1959,52,0,41.5
2025-01-28,JP,Baidu,Vacation,desktop,A,11785,324,14,87.05
2025-02-24,JP,Google,Vacation,mobile,A,12384,540,17,718.06
2025-01-03,TH,Naver,Hotel,desktop,B,2444,85,2,52.37
2025-02-01,TH,Twitter,Hotel,mobile,A,505,26,2,35.81
2025-02-09,TH,Facebook,Vacation,mobile,B,6502,314,19,469.53
2025-03-30,JP,Twitter,Flight,mobile,B,6012,237,12,166.99
2025-01-20,TH,Twitter,Hotel,desktop,B,3533,141,4,126.71
2025-01-25,TW,Naver,Hotel,desktop,B,9599,400,19,226.15
2025-02-06,SG,Naver,Hotel,mobile,B,3547,149,11,25.4
2025-03-31,KR,Google,Hotel,mobile,A,12200,493,18,96.7
2025-03-18,TH,Naver,Hotel,mobile,A,689,21,0,4.92
2025-01-04,JP,Naver,Flight,mobile,A,3774,111,2,29.2
2025-01-22,TH,Baidu,Hotel,desktop,A,14592,456,18,453.12
2025-03-15,TW,Google,Flight,desktop,B,3126,150,13,42.14
2025-01-06,TH,Facebook,Vacation,desktop,B,1455,72,7,48.69
2025-03-19,TH,Baidu,Flight,mobile,B,2150,100,2,61.01
2025-01-26,TH,Baidu,Hotel,mobile,B,1181,52,0,44.13
2025-03-24,TH,Google,Hotel,mobile,A,9689,363,13,161.78
2025-01-27,TW,Naver,Flight,mobile,B,2911,127,4,29.75
2025-02-09,KR,Baidu,Hotel,desktop,B,9822,381,25,429.19
2025-03-01,JP,Naver,Hotel,desktop,A,5505,166,3,121.48
2025-01-12,KR,Google,Hotel,mobile,A,13986,579,21,520.38
2025-02-20,TW,Naver,Vacation,desktop,B,9116,376,21,553.99
2025-02-15,TW,Twitter,Flight,mobile,B,6536,251,14,151.32
2025-03-12,SG,Facebook,Vacation,mobile,A,743,26,2,26.64
2025-03-31,JP,Google,Hotel,desktop,A,10847,423,18,539.62
2025-03-01,TW,Google,Vacation,mobile,B,7392,356,21,109.72
2025-02-06,SG,Twitter,Vacation,desktop,A,7687,236,7,72.22
2025-02-06,SG,Baidu,Flight,mobile,A,4490,118,1,135.7
2025-02-07,TW,Facebook,Flight,desktop,B,3865,166,10,62.03
2025-03-15,KR,Twitter,Flight,mobile,B,3396,152,8,39.34
2025-01-29,SG,Twitter,Hotel,mobile,A,6893,200,8,249.18
2025-01-16,SG,Facebook,Flight,mobile,A,1311,48,3,42.83
2025-01-31,SG,Baidu,Hotel,mobile,A,750,26,0,5.92
2025-01-03,TW,Naver,Flight,desktop,A,9320,271,8,190.01
2025-01-10,TW,Facebook,Hotel,desktop,B,13812,661,30,885.0
2025-01-09,KR,Google,Flight,mobile,A,10625,418,11,510.59
2025-03-11,KR,Google,Hotel,mobile,B,7027,342,10,51.14
2025-03-07,TW,Baidu,Flight,mobile,B,9914,378,22,179.85
2025-03-04,JP,Facebook,Flight,mobile,B,12611,581,39,330.19
2025-02-11,TW,Naver,Flight,desktop,B,13942,529,31,530.12
2025-03-06,JP,Facebook,Flight,desktop,B,3225,152,5,168.95
2025-01-15,SG,Google,Hotel,desktop,A,12759,501,16,643.45
2025-03-23,TH,Naver,Vacation,mobile,A,10439,321,15,251.74
2025-02-15,JP,Baidu,Vacation,mobile,A,5801,190,8,68.02
2025-03-26,SG,Naver,Vacation,desktop,A,6165,183,12,148.76
2025-01-14,KR,Twitter,Vacation,desktop,B,5809,241,9,264.94
2025-02-14,KR,Naver,Vacation,desktop,A,13235,412,18,591.87
2025-03-04,KR,Baidu,Flight,mobile,B,10394,400,17,319.93
